COD;MUN.DIS;MUN;PROV;N2019;N2018;N2017;N2016;N2015;M2019;M2018;M2017;M2016;M2015
8177;Quar, la;Quar, la;Barcelona;1;;1;3;1;;;;;
17142;Quart;Quart;Girona;24;39;46;33;23;637.92;676.28;582.17;542.7;590.43
17043;Queralbs;Queralbs;Girona;2;3;2;5;;;;;;
4312;Querol;Querol;Tarragona;4;6;2;5;2;;483.33;;;
17143;Rabós;Rabós;Girona;4;4;2;6;6;;;;541.67;658.33
8178;Rajadell;Rajadell;Barcelona;9;11;11;1;7;415.67;620.16;512.86;403.75;461.96
43121;Rasquera;Rasquera;Tarragona;4;2;1;5;1;;;;;
17144;Regencós;Regencós;Girona;2;2;2;;2;;;;;
8179;Rellinars;Rellinars;Barcelona;11;11;13;11;14;446.82;510.56;444.62;494.09;469.64
43122;Renau;Renau;Tarragona;4;1;2;;1;;;;;
43123;Reus;Reus;Tarragona;2404;2503;2382;2397;2563;471.26;442.22;410.9;395.05;380.52
25183;Rialp;Rialp;Lleida;18;17;13;12;16;315.28;328.53;324.23;280.83;295.31
43124;Riba, la;Riba, la;Tarragona;1;9;5;4;8;353.4;330.56;;;223.69
43125;Riba0roja d'Ebre;Riba-roja d'Ebre;Tarragona;6;6;7;3;2;316.67;324.17;341.43;;
25905;Ribera d'Ondara;Ribera d'Ondara;Lleida;2;4;3;4;3;;;;;
25185;Ribera d'Urgellet;Ribera d'Urgellet;Lleida;9;11;19;6;12;412.22;450.91;387.74;466.67;409.58
17145;Ribes de Freser;Ribes de Freser;Girona;33;31;26;16;18;403.44;412.55;444.81;327;358.89
17146;Riells i Viabrea;Riells i Viabrea;Girona;45;56;57;57;46;650;652.24;589.79;523.26;542.5
43126;Riera de Gaià, la;Riera de Gaià, la;Tarragona;19;21;29;17;18;501.91;505.8;471.95;441.66;418.37
25186;Riner;Riner;Lleida;2;4;;4;1;;;;;
17147;Ripoll;Ripoll;Girona;276;279;218;23;196;373.63;369.2;351.14;333.3;317.36
818;Ripollet;Ripollet;Barcelona;408;601;65;51;565;644.56;616.33;540.39;509.55;502.8
25913;Riu de Cerdanya;Riu de Cerdanya;Lleida;1;4;5;5;;;;;;
17148;Riudarenes;Riudarenes;Girona;34;3;3;28;19;587.79;568.67;51;493.68;532.37
17149;Riudaura;Riudaura;Girona;8;16;5;3;6;453.13;452.5;;;477
43127;Riudecanyes;Riudecanyes;Tarragona;8;8;8;11;11;521.25;53;379.38;424.36;471.67
43128;Riudecols;Riudecols;Tarragona;28;17;23;22;29;390.89;485.29;391.96;393.18;372.41
1715;Riudellots de la Selva;Riudellots de la Selva;Girona;26;24;19;27;24;572.69;569.75;592.11;520.42;440.05
43129;Riudoms;Riudoms;Tarragona;107;107;87;101;77;460.97;429.2;396.9;376.57;349.51
17151;Riumors;Riumors;Girona;8;1;6;7;1;548.13;;567.5;511.43;
8181;Roca del Vallès, la;Roca del Vallès, la;Barcelona;161;154;15;135;118;700.7;681.88;608.78;610.28;575.96
4313;Rocafort de Queralt;Rocafort de Queralt;Tarragona;5;3;1;4;1;;;;;
43131;Roda de Berà;Roda de Berà;Tarragona;155;147;147;118;165;534.21;510.78;490.49;460.45;438.57
8183;Roda de Ter;Roda de Ter;Barcelona;101;132;136;96;86;447.36;437.27;387.44;374.13;353.21
43132;Rodonyà;Rodonyà;Tarragona;5;5;8;9;13;;;332.5;325.56;294.05
43133;Roquetes;Roquetes;Tarragona;144;14;134;136;124;383.19;372.04;355.39;350.15;298.68
17152;Roses;Roses;Girona;439;437;442;429;395;490.24;481.24;470.23;440.35;454.62
25189;Rosselló;Rosselló;Lleida;23;37;3;36;14;364.72;393.43;411.8;345.97;387.64
43134;Rourell, el;Rourell, el;Tarragona;5;9;3;2;3;;347.22;;;
8184;Rubí;Rubí;Barcelona;1276;1376;1241;1161;1182;666.68;630.48;582.26;537.04;495.96
8185;Rubió;Rubió;Barcelona;5;3;4;3;1;;;;;
17153;Rupià;Rupià;Girona;5;4;3;3;1;;;;;
8901;Rupit i Pruit;Rupit i Pruit;Barcelona;3;3;3;2;2;;;;;
8187;Sabadell;Sabadell;Barcelona;3800;4169;3957;3705;3643;673.16;632.54;589.2;542.01;507.99
8188;Sagàs;Sagàs;Barcelona;;;1;1;;;;;;
2519;Salàs de Pallars;Salàs de Pallars;Lleida;2;7;2;3;1;;287.14;;;
819;Saldes;Saldes;Barcelona;5;5;2;2;1;;;;;
17154;Sales de Llierca;Sales de Llierca;Girona;;;1;;;;;;;
8191;Sallent;Sallent;Barcelona;74;7;62;61;5;386.28;420.7;337.47;331.75;341.6
43135;Salomó;Salomó;Tarragona;11;5;1;9;7;470.91;;446.5;334.44;330.71
43905;Salou;Salou;Tarragona;662;647;636;602;585;521.46;506.81;468.66;459.83;444.42
17155;Salt;Salt;Girona;600;633;634;624;693;495.17;455.98;392.63;390.37;376.35
25191;Sanaüja;Sanaüja;Lleida;3;5;7;;;;;334.43;;
8194;Sant Adrià de Besòs;Sant Adrià de Besòs;Barcelona;489;492;414;446;497;713.95;699.57;654.08;588.46;559.15
8195;Sant Agustí de Lluçanès;Sant Agustí de Lluçanès;Barcelona;1;1;3;1;1;;;;;
8196;Sant Andreu de la Barca;Sant Andreu de la Barca;Barcelona;399;422;329;388;348;639.08;636.23;606.73;544.2;522.17
8197;Sant Andreu de Llavaneres;Sant Andreu de Llavaneres;Barcelona;257;267;227;204;218;997.88;907.12;837.38;770.48;766.87
17157;Sant Andreu Salou;Sant Andreu Salou;Girona;2;1;1;;;;;;;
17183;Sant Aniol de Finestres;Sant Aniol de Finestres;Girona;3;4;3;3;1;;;;;
8198;Sant Antoni de Vilamajor;Sant Antoni de Vilamajor;Barcelona;13;136;108;132;11;649.64;659.49;607.05;556.05;550.18
8199;Sant Bartomeu del Grau;Sant Bartomeu del Grau;Barcelona;7;6;9;1;7;624.29;496.67;474.44;444.5;400.29
8200;Sant Boi de Llobregat;Sant Boi de Llobregat;Barcelona;906;1268;1128;1047;1097;712.79;673.41;639.59;590.69;551.59
8201;Sant Boi de Lluçanès;Sant Boi de Lluçanès;Barcelona;7;6;8;4;6;419.29;370.83;300.63;;365
43136;Sant Carles de la Ràpita;Sant Carles de la Ràpita;Tarragona;321;269;228;235;247;349.15;325.91;290.42;293.47;261.42
8203;Sant Cebrià de Vallalta;Sant Cebrià de Vallalta;Barcelona;37;51;35;38;55;723.38;717.93;568.41;616.18;609.55
8202;Sant Celoni;Sant Celoni;Barcelona;334;371;296;282;327;577.54;541.8;505.98;466.81;434.55
8204;Sant Climent de Llobregat;Sant Climent de Llobregat;Barcelona;66;79;67;54;49;711.6;693.65;660.24;599.63;586.53
17158;Sant Climent Sescebes;Sant Climent Sescebes;Girona;13;18;16;19;6;513.08;430.56;469.69;447.47;387.5
8205;Sant Cugat del Vallès;Sant Cugat del Vallès;Barcelona;2232;2172;1975;1513;1587;1134.23;1149.55;1095.85;996.07;897.54
8206;Sant Cugat Sesgarrigues;Sant Cugat Sesgarrigues;Barcelona;9;6;8;14;5;504.89;417.5;568.75;555.71;
25196;Sant Esteve de la Sarga;Sant Esteve de la Sarga;Lleida;2;;1;;;;;;;
8207;Sant Esteve de Palautordera;Sant Esteve de Palautordera;Barcelona;69;75;5;66;78;612.61;630.75;623.08;588.08;510.79
8208;Sant Esteve Sesrovires;Sant Esteve Sesrovires;Barcelona;114;16;12;114;136;806.28;769.38;774.47;662.86;666.91
17159;Sant Feliu de Buixalleu;Sant Feliu de Buixalleu;Girona;16;11;7;7;11;597.92;525.45;646.43;932.86;535
821;Sant Feliu de Codines;Sant Feliu de Codines;Barcelona;195;229;224;197;189;551.46;524.28;495.01;442.86;398.73
1716;Sant Feliu de Guíxols;Sant Feliu de Guíxols;Girona;498;46;459;485;451;571.01;535.23;500.09;464.26;458.74
8211;Sant Feliu de Llobregat;Sant Feliu de Llobregat;Barcelona;665;632;567;613;597;816.46;756.08;729.24;632.7;596.59
17161;Sant Feliu de Pallerols;Sant Feliu de Pallerols;Girona;31;42;37;24;2;485.81;369.52;390.68;315.83;306
8212;Sant Feliu Sasserra;Sant Feliu Sasserra;Barcelona;5;2;7;4;6;;;335.71;;318.89
17162;Sant Ferriol;Sant Ferriol;Girona;1;1;2;1;1;;;;;
8209;Sant Fost de Campsentelles;Sant Fost de Campsentelles;Barcelona;69;79;76;55;91;818.88;829.91;749.17;709.12;721.1
8213;Sant Fruitós de Bages;Sant Fruitós de Bages;Barcelona;11;154;141;111;9;496.47;485.2;419.38;409.47;433.41
17163;Sant Gregori;Sant Gregori;Girona;44;63;49;47;38;680.43;711.54;669.17;646.61;501.64
25192;Sant Guim de Freixenet;Sant Guim de Freixenet;Lleida;21;15;12;11;17;300.24;259.47;209.17;224.55;281.18
25197;Sant Guim de la Plana;Sant Guim de la Plana;Lleida;;;;;;;;;;
17164;Sant Hilari Sacalm;Sant Hilari Sacalm;Girona;102;116;108;118;97;371.05;347.83;335.88;328.84;315.9
8215;Sant Hipòlit de Voltregà;Sant Hipòlit de Voltregà;Barcelona;4;35;36;4;39;464.81;432.71;397.08;351.88;335.92
8193;Sant Iscle de Vallalta;Sant Iscle de Vallalta;Barcelona;21;13;22;24;12;622.71;765.38;552.63;580.54;511.67
8216;Sant Jaume de Frontanyà;Sant Jaume de Frontanyà;Barcelona;;;;2;;;;;;
17165;Sant Jaume de Llierca;Sant Jaume de Llierca;Girona;9;23;16;5;19;424.91;422.25;397.8;;375
43137;Sant Jaume dels Domenys;Sant Jaume dels Domenys;Tarragona;35;33;33;34;25;475.59;502.88;491.82;448.44;413.6
43902;Sant Jaume d'Enveja;Sant Jaume d'Enveja;Tarragona;34;27;23;2;17;343.82;291.82;293.22;263.31;297.94
17167;Sant Joan de les Abadesses;Sant Joan de les Abadesses;Girona;57;34;57;3;3;350.24;339.7;322.31;313.73;283.55
17168;Sant Joan de Mollet;Sant Joan de Mollet;Girona;11;7;5;7;4;586.37;681.57;;1068.57;
8218;Sant Joan de Vilatorrada;Sant Joan de Vilatorrada;Barcelona;122;114;12;134;138;489.04;459.5;399.08;384.52;364.82
8217;Sant Joan Despí;Sant Joan Despí;Barcelona;541;613;452;431;502;849.37;814.73;754.45;697.11;650.64
17185;Sant Joan les Fonts;Sant Joan les Fonts;Girona;51;46;47;64;44;412.24;420.89;370.92;355.75;343.57
17166;Sant Jordi Desvalls;Sant Jordi Desvalls;Girona;19;23;7;1;11;585.79;455.87;521.86;505;434.73
8903;Sant Julià de Cerdanyola;Sant Julià de Cerdanyola;Barcelona;;5;2;5;3;;;;;
17169;Sant Julià de Ramis;Sant Julià de Ramis;Girona;45;5;47;34;41;641.89;592.98;640.38;582.33;536.05
822;Sant Julià de Vilatorta;Sant Julià de Vilatorta;Barcelona;38;41;3;33;39;585.1;449.77;408.65;432.96;422.82
17903;Sant Julià del Llor i Bonmatí;Sant Julià del Llor i Bonmatí;Girona;25;33;12;26;13;436.8;466.44;383.33;474.33;326.15
8221;Sant Just Desvern;Sant Just Desvern;Barcelona;42;363;438;298;344;1092.02;1058.92;891.94;1003.18;941.59
17171;Sant Llorenç de la Muga;Sant Llorenç de la Muga;Girona;5;7;6;4;7;;407.14;475;;384.29
25193;Sant Llorenç de Morunys;Sant Llorenç de Morunys;Lleida;12;15;1;1;14;273.68;326.67;257.8;273;275.48
8222;Sant Llorenç d'Hortons;Sant Llorenç d'Hortons;Barcelona;46;46;53;46;59;579.13;509.23;544.06;473.04;467.37
8223;Sant Llorenç Savall;Sant Llorenç Savall;Barcelona;48;52;46;5;48;432.67;454.54;400.47;356.31;362
8225;Sant Martí d'Albars;Sant Martí d'Albars;Barcelona;;;;;;;;;;
8224;Sant Martí de Centelles;Sant Martí de Centelles;Barcelona;3;43;58;48;43;485.84;487.13;390.44;390.75;376.59
17172;Sant Martí de Llémena;Sant Martí de Llémena;Girona;5;3;8;8;1;;;720.25;621.88;
25902;Sant Martí de Riucorb;Sant Martí de Riucorb;Lleida;3;3;6;;3;;;331.67;;
8226;Sant Martí de Tous;Sant Martí de Tous;Barcelona;7;5;4;9;6;376.43;;;544.44;491.67
8227;Sant Martí Sarroca;Sant Martí Sarroca;Barcelona;56;52;35;5;34;538.96;523.07;480.43;436.26;425.66
8228;Sant Martí Sesgueioles;Sant Martí Sesgueioles;Barcelona;4;3;2;6;3;;;;333.33;
17173;Sant Martí Vell;Sant Martí Vell;Girona;2;1;2;3;3;;;;;
8229;Sant Mateu de Bages;Sant Mateu de Bages;Barcelona;1;4;4;7;6;528;;;48;382.83
17174;Sant Miquel de Campmajor;Sant Miquel de Campmajor;Girona;;1;;;2;;;;;
17175;Sant Miquel de Fluvià;Sant Miquel de Fluvià;Girona;6;6;3;4;4;653.33;663.08;;;
17176;Sant Mori;Sant Mori;Girona;2;2;1;4;3;;;;;
17177;Sant Pau de Segúries;Sant Pau de Segúries;Girona;12;13;12;9;8;400.05;488.85;384.5;325;268.13
8231;Sant Pere de Ribes;Sant Pere de Ribes;Barcelona;535;529;488;458;457;758.7;702.77;660.32;604.72;567.6
8232;Sant Pere de Riudebitlles;Sant Pere de Riudebitlles;Barcelona;34;36;25;34;23;533.88;494.03;436.6;417.21;348.04
8233;Sant Pere de Torelló;Sant Pere de Torelló;Barcelona;22;21;23;17;2;429.88;342.21;325.56;329.2;357.66
8234;Sant Pere de Vilamajor;Sant Pere de Vilamajor;Barcelona;48;43;4;4;4;835.92;802.88;709.75;761.3;641.25
17178;Sant Pere Pescador;Sant Pere Pescador;Girona;51;5;47;53;56;444.51;448.9;402.02;412.01;380.24
8189;Sant Pere Sallavinera;Sant Pere Sallavinera;Barcelona;;;2;;2;;;;;
8235;Sant Pol de Mar;Sant Pol de Mar;Barcelona;141;137;134;155;139;724.68;697.42;651.52;583.45;569.02
8236;Sant Quintí de Mediona;Sant Quintí de Mediona;Barcelona;59;54;69;38;25;440.51;393;382.18;310.63;331.68
8237;Sant Quirze de Besora;Sant Quirze de Besora;Barcelona;33;48;29;27;25;411.84;384.79;373.96;356.71;356.43
8238;Sant Quirze del Vallès;Sant Quirze del Vallès;Barcelona;19;223;187;202;194;823.83;782.93;740.91;737.98;703.04
8239;Sant Quirze Safaja;Sant Quirze Safaja;Barcelona;17;14;14;8;8;666.18;615;611.79;49;512.5
25194;Sant Ramon;Sant Ramon;Lleida;4;;3;4;1;;;;;
824;Sant Sadurní d'Anoia;Sant Sadurní d'Anoia;Barcelona;28;283;265;242;238;578.07;522.59;502.16;454.68;448.56
8241;Sant Sadurní d'Osormort;Sant Sadurní d'Osormort;Barcelona;;;;8;8;;;;383.13;32
8098;Sant Salvador de Guardiola;Sant Salvador de Guardiola;Barcelona;1;25;23;24;24;594.5;534.76;572.32;578.96;502.83
8262;Sant Vicenç de Castellet;Sant Vicenç de Castellet;Barcelona;197;227;213;207;226;482.72;431.91;390.12;369.95;342.04
8264;Sant Vicenç de Montalt;Sant Vicenç de Montalt;Barcelona;103;109;102;104;93;1514.68;1251.57;1213.69;1148.23;1049.36
8265;Sant Vicenç de Torelló;Sant Vicenç de Torelló;Barcelona;23;32;27;25;24;430.17;394.97;323.89;309;311.22
8263;Sant Vicenç dels Horts;Sant Vicenç dels Horts;Barcelona;312;304;279;278;27;682.41;674.47;646.72;584.53;565.35
43138;Santa Bàrbara;Santa Bàrbara;Tarragona;56;53;43;45;43;301.79;284.65;272.45;268.83;257.56
8243;Santa Cecília de Voltregà;Santa Cecília de Voltregà;Barcelona;;;;;1;;;;;
8244;Santa Coloma de Cervelló;Santa Coloma de Cervelló;Barcelona;83;88;69;73;81;853.61;773.74;705.55;691.72;631.12
1718;Santa Coloma de Farners;Santa Coloma de Farners;Girona;247;251;262;228;242;493.9;481.32;467.88;416.82;403.73
8245;Santa Coloma de Gramenet;Santa Coloma de Gramenet;Barcelona;2083;211;1947;1858;1934;614.78;583.95;529.14;505.82;483.28
43139;Santa Coloma de Queralt;Santa Coloma de Queralt;Tarragona;38;42;35;27;27;313.17;287.5;339.51;274.63;295.37
17181;Santa Cristina d'Aro;Santa Cristina d'Aro;Girona;66;59;5;56;64;675.85;580.55;584.56;505.27;504.98
8246;Santa Eugènia de Berga;Santa Eugènia de Berga;Barcelona;36;28;25;29;4;502.78;497.59;515.37;461.77;437.81
8247;Santa Eulàlia de Riuprimer;Santa Eulàlia de Riuprimer;Barcelona;15;26;18;16;16;532.4;483.92;493.06;473.75;427.19
8248;Santa Eulàlia de Ronçana;Santa Eulàlia de Ronçana;Barcelona;8;61;55;77;61;776.26;757.16;707.73;649;636.15
8249;Santa Fe del Penedès;Santa Fe del Penedès;Barcelona;2;1;1;3;1;;;;;
17182;Santa Llogaia d'Àlguema;Santa Llogaia d'Àlguema;Girona;3;4;2;7;6;;;;416.43;508.33
825;Santa Margarida de Montbui;Santa Margarida de Montbui;Barcelona;13;132;138;12;115;421.26;382.25;354.77;325.16;320.39
8251;Santa Margarida i els Monjos;Santa Margarida i els Monjos;Barcelona;103;134;93;88;93;450.31;430.22;452.84;407.1;399.1
8253;Santa Maria de Besora;Santa Maria de Besora;Barcelona;1;3;2;2;2;;;;;
8256;Santa Maria de Martorelles;Santa Maria de Martorelles;Barcelona;6;8;8;7;14;673.33;581.25;565.63;522.14;577.14
8255;Santa Maria de Merlès;Santa Maria de Merlès;Barcelona;2;2;1;;4;;;;;
8257;Santa Maria de Miralles;Santa Maria de Miralles;Barcelona;;;1;;;;;;;
8259;Santa Maria de Palautordera;Santa Maria de Palautordera;Barcelona;131;147;112;143;131;585.39;586.4;575.52;520.19;473.55
8258;Santa Maria d'Oló;Santa Maria d'Oló;Barcelona;14;12;11;5;3;417.5;396.08;460.91;;
4314;Santa Oliva;Santa Oliva;Tarragona;32;33;21;23;18;572.34;556.27;525.93;555.87;473.89
17184;Santa Pau;Santa Pau;Girona;12;13;12;12;11;623.75;483.38;520.83;510.42;505
826;Santa Perpètua de Mogoda;Santa Perpètua de Mogoda;Barcelona;367;281;301;301;32;643.99;629.02;596.36;523.53;489.18
8261;Santa Susanna;Santa Susanna;Barcelona;56;46;33;35;7;778.57;748.15;708;567.46;602.24
8192;Santpedor;Santpedor;Barcelona;125;118;123;105;109;486;484.18;430.11;411.51;415.37
43142;Sarral;Sarral;Tarragona;15;1;11;7;8;345.67;352.5;372.73;332.14;327.5
17186;Sarrià de Ter;Sarrià de Ter;Girona;57;78;52;57;109;590.17;562.13;573.6;518.33;506.57
25201;Sarroca de Bellera;Sarroca de Bellera;Lleida;;;;;;;;;;
25200;Sarroca de Lleida;Sarroca de Lleida;Lleida;;;;;;;;;;
17187;Saus, Camallera i Llampaies;Saus, Camallera i Llampaies;Girona;1;3;8;6;7;655;;463.75;570.83;587.14
43143;Savallà del Comtat;Savallà del Comtat;Tarragona;;1;;;1;;;;;
43144;Secuita, la;Secuita, la;Tarragona;22;23;33;17;24;472.77;463.7;495.63;539.71;449.05
17188;Selva de Mar, la;Selva de Mar, la;Girona;2;7;1;;;;510.71;;;
43145;Selva del Camp, la;Selva del Camp, la;Tarragona;61;6;54;6;51;458.44;437.43;442.37;401.17;421.18
43146;Senan;Senan;Tarragona;;;;1;1;;;;;
43044;Sénia, la;Sénia, la;Tarragona;41;34;4;21;21;279.15;252.15;256.63;235.64;239.05
25202;Senterada;Senterada;Lleida;7;6;4;3;7;282.86;274.17;;;292.86
25035;Sentiu de Sió, la;Sentiu de Sió, la;Lleida;1;1;2;1;2;;;;;
8267;Sentmenat;Sentmenat;Barcelona;144;14;205;15;134;577.91;544.11;501.22;511.16;440.46
1719;Serinyà;Serinyà;Girona;22;16;9;14;17;531.82;518.31;51;398.57;437.35
25204;Seròs;Seròs;Lleida;14;8;8;7;7;323.21;354.32;360.16;338.57;368.71
17191;Serra de Daró;Serra de Daró;Girona;2;1;1;2;1;;;;;
17192;Setcases;Setcases;Girona;1;1;4;1;1;;;;;
25203;Seu d'Urgell, la;Seu d'Urgell, la;Lleida;425;457;516;383;358;394.45;384.32;368.95;361.87;362.16
8269;Seva;Seva;Barcelona;49;54;56;41;41;606.45;617.69;586.43;583.32;454.51
25205;Sidamon;Sidamon;Lleida;6;2;4;4;5;379.17;;;;
17193;Sils;Sils;Girona;93;99;102;81;79;568.62;468.65;505.46;486.38;491.43
827;Sitges;Sitges;Barcelona;909;895;814;655;77;1021.48;983.74;955.37;847.11;756.66
17052;Siurana;Siurana;Girona;1;2;2;;1;;;;;
8271;Sobremunt;Sobremunt;Barcelona;;1;;;;;;;;
25206;Soleràs, el;Soleràs, el;Lleida;1;1;;;;;;;;
43147;Solivella;Solivella;Tarragona;4;7;;2;2;;337.86;;;
25207;Solsona;Solsona;Lleida;300;274;185;27;255;332.43;310.04;323.64;273.86;279.85
8272;Sora;Sora;Barcelona;4;2;2;;1;;;;;
25208;Soriguera;Soriguera;Lleida;8;3;5;4;6;367.38;;;;389.83
25209;Sort;Sort;Lleida;59;84;71;79;75;357.99;340.88;320.35;315.51;302.4
2521;Soses;Soses;Lleida;6;4;7;4;4;316.67;;356.89;;
8273;Subirats;Subirats;Barcelona;35;24;23;18;22;555.09;506.78;490.43;437.5;473.86
25211;Sudanell;Sudanell;Lleida;3;2;2;1;2;;;;;
25212;Sunyer;Sunyer;Lleida;1;4;3;3;3;;;;;
8274;Súria;Súria;Barcelona;58;71;47;32;32;377.91;373.6;370.16;365.56;328.34
17194;Susqueda;Susqueda;Girona;1;3;;1;1;;;;;
8276;Tagamanent;Tagamanent;Barcelona;3;3;2;6;5;;;;545.36;
8277;Talamanca;Talamanca;Barcelona;7;5;6;1;2;485;;346.67;394.83;
25215;Talarn;Talarn;Lleida;5;5;2;1;4;;;;;
25216;Talavera;Talavera;Lleida;1;;2;;1;;;;;
17195;Tallada d'Empordà, la;Tallada d'Empordà, la;Girona;3;2;3;;1;;;;;
8278;Taradell;Taradell;Barcelona;15;146;141;154;128;511.66;483.52;437.2;410.16;387.22
43148;Tarragona;Tarragona;Tarragona;4026;4321;4241;3956;4010;533.05;513.78;476.75;447.67;431.53
25217;Tàrrega;Tàrrega;Lleida;264;299;268;246;263;370.53;331.56;306.62;291.94;287.71
25218;Tarrés;Tarrés;Lleida;1;1;;;;;;;;
25219;Tarroja de Segarra;Tarroja de Segarra;Lleida;;;;1;1;;;;;
8275;Tavèrnoles;Tavèrnoles;Barcelona;3;2;;;1;;;;;
828;Tavertet;Tavertet;Barcelona;2;;;;;;;;;
8281;Teià;Teià;Barcelona;75;92;87;79;82;996.39;1117.67;834.37;969.1;885.41
2522;Térmens;Térmens;Lleida;6;5;11;4;3;380.83;;315.45;;
17196;Terrades;Terrades;Girona;4;11;5;6;5;;638.18;;583.33;
8279;Terrassa;Terrassa;Barcelona;4555;5001;4782;4264;4219;615.08;560.85;525.74;481.33;446.2
8282;Tiana;Tiana;Barcelona;124;14;91;86;91;1005.61;926;930.22;896.13;762.95
25221;Tírvia;Tírvia;Lleida;2;1;2;1;3;;;;;
25222;Tiurana;Tiurana;Lleida;1;;;;;;;;;
43149;Tivenys;Tivenys;Tarragona;8;1;3;7;6;296.25;314.5;;247.14;297.5
4315;Tivissa;Tivissa;Tarragona;13;5;9;5;5;268.5;;245.67;;
8283;Tona;Tona;Barcelona;163;115;137;139;172;530.57;509.89;482.45;438.67;384.14
25223;Torà;Torà;Lleida;32;27;25;19;16;403.38;295.59;294;274.21;292.5
8284;Tordera;Tordera;Barcelona;259;28;225;24;291;509.9;471.96;457.09;428.31;389.32
8285;Torelló;Torelló;Barcelona;229;242;252;231;252;435.77;417.2;387.08;354.13;350.6
25224;Torms, els;Torms, els;Lleida;;;1;;;;;;;
25225;Tornabous;Tornabous;Lleida;6;6;5;;3;325;414.17;;;
25227;Torre de Cabdella, la;Torre de Cabdella, la;Lleida;3;6;;1;11;;322.5;;;90.91
8286;Torre de Claramunt, la;Torre de Claramunt, la;Barcelona;26;35;44;34;25;575.58;576.43;525.3;512.21;651.32
43151;Torre de Fontaubella, la;Torre de Fontaubella, la;Tarragona;;;1;;;;;;;
43152;Torre de l'Espanyol, la;Torre de l'Espanyol, la;Tarragona;;;4;;2;;;;;
25226;Torrebesses;Torrebesses;Lleida;;;2;;;;;;;
43153;Torredembarra;Torredembarra;Tarragona;561;488;48;475;506;508.27;487.6;466.47;430.84;429.09
25228;Torrefarrera;Torrefarrera;Lleida;78;61;88;58;7;472.91;407.02;441.3;422.68;391.89
25907;Torrefeta i Florejacs;Torrefeta i Florejacs;Lleida;3;2;5;7;2;;;;258.57;
2523;Torregrossa;Torregrossa;Lleida;5;17;11;14;19;;300.7;294.92;291.43;284.74
25231;Torrelameu;Torrelameu;Lleida;2;4;2;;;;;;;
8287;Torrelavit;Torrelavit;Barcelona;14;16;22;19;22;486.07;505.29;413.69;402.37;450.73
8288;Torrelles de Foix;Torrelles de Foix;Barcelona;37;35;49;42;28;468.16;454.42;400.46;390.71;352.62
8289;Torrelles de Llobregat;Torrelles de Llobregat;Barcelona;98;98;89;73;97;681.63;736.6;710.98;676.89;607.6
17197;Torrent;Torrent;Girona;2;;;2;;;;;;
25232;Torres de Segre;Torres de Segre;Lleida;6;4;1;8;4;388;;;330.59;
25233;Torre0serona;Torre-serona;Lleida;2;1;2;2;2;;;;;
17198;Torroella de Fluvià;Torroella de Fluvià;Girona;12;16;16;15;13;587.5;660.34;577.81;441.7;601.54
17199;Torroella de Montgrí;Torroella de Montgrí;Girona;205;212;18;196;14;541.34;499.79;471.52;449.53;418.16
43154;Torroja del Priorat;Torroja del Priorat;Tarragona;1;;;1;1;;;;;
17200;Tortellà;Tortellà;Girona;8;1;13;14;11;492.81;426.5;462.69;432.14;352.27
43155;Tortosa;Tortosa;Tarragona;831;883;793;786;719;376.08;346.42;337.72;327.78;314.33
17201;Toses;Toses;Girona;1;1;1;4;;;;;;
17202;Tossa de Mar;Tossa de Mar;Girona;91;95;88;74;74;549.55;512;488.37;482.11;436.78
25234;Tremp;Tremp;Lleida;81;92;88;77;85;333.41;315.5;301.89;303.26;264.71
17204;Ullà;Ullà;Girona;15;17;16;1;8;627.33;493.2;509.85;400.76;559.63
829;Ullastrell;Ullastrell;Barcelona;21;19;21;14;23;722.67;708.1;703.1;635.36;650.45
17205;Ullastret;Ullastret;Girona;2;4;5;1;5;;;;;
43156;Ulldecona;Ulldecona;Tarragona;54;71;65;55;31;293.24;251.83;246.88;241.64;274.78
43157;Ulldemolins;Ulldemolins;Tarragona;3;4;3;3;2;;;;;
17203;Ultramort;Ultramort;Girona;4;3;3;4;2;;;;;
17206;Urús;Urús;Girona;4;1;6;2;3;;;599.17;;
8291;Vacarisses;Vacarisses;Barcelona;64;79;53;49;54;683.15;746.99;726.98;675.49;562.81
17014;Vajol, la;Vajol, la;Girona;;1;1;;1;;;;;
17208;Vall de Bianya, la;Vall de Bianya, la;Girona;8;16;1;12;14;551.88;477.19;475;450.42;508.93
25043;Vall de Boí, la;Vall de Boí, la;Lleida;1;12;4;9;1;;423.33;;384.21;
25901;Vall de Cardós;Vall de Cardós;Lleida;4;3;5;3;1;;;;;
17207;Vall d'en Bas, la;Vall d'en Bas, la;Girona;35;41;41;35;29;477.36;483.41;504.88;452.57;452.07
8292;Vallbona d'Anoia;Vallbona d'Anoia;Barcelona;14;14;12;12;4;562.14;437.08;441.45;502.5;
25238;Vallbona de les Monges;Vallbona de les Monges;Lleida;;1;1;1;2;;;;;
8293;Vallcebre;Vallcebre;Barcelona;1;6;3;1;;;396.67;;;
43158;Vallclara;Vallclara;Tarragona;;;;;1;;;;;
2524;Vallfogona de Balaguer;Vallfogona de Balaguer;Lleida;23;22;16;14;8;340.86;363.73;349.06;302.33;325
1717;Vallfogona de Ripollès;Vallfogona de Ripollès;Girona;;3;;1;1;;;;;
43159;Vallfogona de Riucorb;Vallfogona de Riucorb;Tarragona;1;1;3;1;;;;;;
